MemberID,COUNT_TEMP,SEX,AGE,MARITAL_STATUS,CITY,DISTRICT,EDUCATION,ANNU_INCOME,PRIVATE_VEHICLE,COMMUTE,CHILDREN,DATE,MCC_CAT,AMOUNT,CARD_TYPE,PAYBY,MOBILE_PAYMENT,QUANTITY,AD_EXPO,AD_CLICK,AD_TIME
436,168,女,53,0,新北市,五股區,高中(職),600000,0,1, ,1/2/2017,電器用品,4172,簽帳金融卡,信用卡,0,2,0, , 
993,57,女,36,1,新北市,汐止區,其他,681930,0,0,3,1/2/2017,服飾用品,1397,小資卡,信用卡,0,2,1,0, 
442,99,男,36,1,台北市,大安區,碩士以上,540000,1,1,1,1/2/2017,食品飲料,1182,玉璽卡,信用卡,1,5,1,0, 
287,194,男,50,0,新竹市,新竹市,其他,562629,1,0, ,1/2/2017,食品飲料,2001, ,ATM轉帳, ,2,1,0, 
614,172,男,38,1,新北市,板橋區,其他,637326,0,1,1,1/2/2017,食品飲料,1307,簽帳金融卡,信用卡,0,1,0, , 
594,35,女,48,1,台北市,松山區,其他,644857,0,1,0,1/2/2017,服飾用品,983,簽帳金融卡,信用卡,0,2,0, , 
837,14,女,38,1,無資料,無資料,其他,521429,0,1,2,1/2/2017,美妝保健,1868,玉璽卡,信用卡,1,1,1,0, 
523,163,女,37,1,台南市,安南區,大學,330000,1,1,0,1/2/2017,美妝保健,1225,玉璽卡,信用卡,1,1,1,1,7
635,89,男,32,1,彰化縣,員林鎮,其他,388652,1,0,0,1/2/2017,服飾用品,472, ,ATM轉帳, ,1,0, , 
280,64,女,33,0,台北市,松山區,其他,644375,0,1, ,1/2/2017,服飾用品,2814, ,貨到付款, ,1,1,1,11
837,14,女,38,1,無資料,無資料,其他,521429,0,1,2,1/2/2017,美妝保健,1252,簽帳金融卡,信用卡,0,1,1,0, 
401,216,男,37,1,新北市,林口區,大學,600000,0,1,1,1/2/2017,生活百貨,896, ,ATM轉帳, ,1,1,0, 
993,57,女,36,1,新北市,汐止區,其他,681930,0,0,3,1/2/2017,美妝保健,1441,簽帳金融卡,信用卡,0,1,0, , 
460,179,女,40,1,新竹市,新竹市,其他,567095,0,1,0,1/2/2017,美妝保健,1238,玉璽卡,信用卡,0,2,1,1,7
419,26,女,48,0,無資料,無資料,大學,460000,1,1, ,1/2/2017,美妝保健,1611,玉璽卡,信用卡,1,1,1,0, 
361,14,男,39,1,台北市,大安區,其他,697143,0,1,0,1/2/2017,美妝保健,5284, ,ATM轉帳, ,1,0, , 
587,45,女,36,0,桃園縣,大溪鎮,高中(職),240000,0,1, ,1/2/2017,服飾用品,1265,玉璽卡,信用卡,1,3,0, , 
82,154,男,38,0,新竹縣,新豐鄉,其他,500000,1,1, ,1/2/2017,食品飲料,957,汽車卡,信用卡,1,2,1,0, 
315,29,女,41,1,台北市,松山區,大學,350000,0,1,0,1/2/2017,美妝保健,715,玉璽卡,信用卡,0,1,0, , 
635,89,男,32,1,彰化縣,員林鎮,其他,388652,1,0,0,1/2/2017,服飾用品,815, ,貨到付款, ,1,0, , 
569,13,男,32,1,新北市,淡水區,其他,654615,1,1,1,1/2/2017,電器用品,4873,玉璽卡,信用卡,1,1,0, , 
314,79,女,43,0,新竹市,新竹市,大學,340000,0,1, ,1/2/2017,美妝保健,913,簽帳金融卡,信用卡,0,2,0, , 
428,34,女,41,1,新北市,三重區,大學,470000,1,1,0,1/2/2017,服飾用品,2129, ,貨到付款, ,1,1,1,11
508,63,女,30,0,苗栗縣,頭份鎮,其他,554286,1,0, ,1/2/2017,食品飲料,2868,簽帳金融卡,信用卡,0,1,0, , 
569,13,男,32,1,新北市,淡水區,其他,654615,1,1,1,1/2/2017,美妝保健,1565, ,貨到付款, ,2,0, , 
287,194,男,50,0,新竹市,新竹市,其他,562629,1,0, ,1/2/2017,電器用品,3662,商務卡,信用卡,0,4,0, , 
594,35,女,48,1,台北市,松山區,其他,644857,0,1,0,1/2/2017,美妝保健,3100, ,貨到付款, ,2,0, , 
436,168,女,53,0,新北市,五股區,高中(職),600000,0,1, ,1/2/2017,美妝保健,1940,尊榮卡,信用卡,0,2,0, , 
523,163,女,37,1,台南市,安南區,大學,330000,1,1,0,1/2/2017,生活百貨,1524,玉璽卡,信用卡,0,3,1,0, 
361,14,男,39,1,台北市,大安區,其他,697143,0,1,0,1/2/2017,電器用品,4781, ,ATM轉帳, ,2,1,0, 
837,14,女,38,1,無資料,無資料,其他,521429,0,1,2,1/2/2017,美妝保健,938,簽帳金融卡,信用卡,0,1,0, , 
647,6,女,50,1,台北市,中山區,大學,450000,1,1,0,1/2/2017,電器用品,4038,簽帳金融卡,信用卡,1,2,1,0, 
315,29,女,41,1,台北市,松山區,大學,350000,0,1,0,1/2/2017,美妝保健,2471,玉璽卡,信用卡,0,1,0, , 
523,163,女,37,1,台南市,安南區,大學,330000,1,1,0,1/2/2017,美妝保健,1465,玉璽卡,信用卡,0,3,1,1,11
460,179,女,40,1,新竹市,新竹市,其他,567095,0,1,0,1/2/2017,美妝保健,1559,商務卡,信用卡,0,2,0, , 
1001,18,男,34,1,彰化縣,花壇鄉,大學,620000,1,1,3,1/2/2017,電器用品,4143,簽帳金融卡,信用卡,0,2,0, , 
569,13,男,32,1,新北市,淡水區,其他,654615,1,1,1,1/2/2017,美妝保健,1595, ,ATM轉帳, ,1,1,0, 
569,13,男,32,1,新北市,淡水區,其他,654615,1,1,1,1/2/2017,美妝保健,899, ,ATM轉帳, ,1,1,0, 
993,57,女,36,1,新北市,汐止區,其他,681930,0,0,3,1/2/2017,服飾用品,2063,玉璽卡,信用卡,0,2,0, , 
382,54,男,38,1,雲林縣,崙背鄉,大學,376481,0,1,2,1/2/2017,服飾用品,922, ,貨到付款, ,2,0, , 
658,9,男,50,1,新北市,汐止區,大學,500000,1,1,1,1/2/2017,電器用品,5855,簽帳金融卡,信用卡,0,4,0, , 
508,63,女,30,0,苗栗縣,頭份鎮,其他,554286,1,0, ,1/2/2017,服飾用品,886,簽帳金融卡,信用卡,0,1,0, , 
569,13,男,32,1,新北市,淡水區,其他,654615,1,1,1,1/2/2017,美妝保健,1237, ,ATM轉帳, ,2,1,0, 
34,76,男,29,1,台北市,大同區,大學,420000,1,1,2,1/2/2017,服飾用品,1078, ,貨到付款, ,1,1,1,8
603,32,男,36,0,嘉義市,嘉義市,其他,426563,1,1, ,1/2/2017,美妝保健,734,簽帳金融卡,信用卡,0,2,1,0, 
795,140,女,36,1,台中市,龍井區,專科,400000,1,1,0,1/2/2017,食品飲料,1163,玉璽卡,信用卡,0,1,1,1,10
594,35,女,48,1,台北市,松山區,其他,644857,0,1,0,1/2/2017,美妝保健,1439,玉璽卡,信用卡,0,1,0, , 
587,45,女,36,0,桃園縣,大溪鎮,高中(職),240000,0,1, ,1/2/2017,服飾用品,1353,汽車卡,信用卡,1,2,0, , 
464,269,男,36,1,新北市,板橋區,其他,500000,1,1,0,1/2/2017,食品飲料,1270,玉璽卡,信用卡,1,1,1,0, 
729,183,女,36,1,新北市,新店區,其他,500000,0,1,3,1/2/2017,美妝保健,546, ,貨到付款, ,2,1,0, 
837,14,女,38,1,無資料,無資料,其他,521429,0,1,2,1/2/2017,服飾用品,1279,簽帳金融卡,信用卡,1,2,1,0, 
946,115,男,43,1,南投縣,草屯鎮,其他,534348,1,1,0,1/2/2017,電器用品,7913, ,ATM轉帳, ,2,0, , 
729,183,女,36,1,新北市,新店區,其他,500000,0,1,3,1/2/2017,美妝保健,965,小資卡,信用卡,1,1,1,1,19
946,115,男,43,1,南投縣,草屯鎮,其他,534348,1,1,0,1/2/2017,電器用品,7573,玉璽卡,信用卡,0,1,1,0, 
460,179,女,40,1,新竹市,新竹市,其他,567095,0,1,0,1/2/2017,美妝保健,2063,汽車卡,信用卡,0,1,1,0, 
569,13,男,32,1,新北市,淡水區,其他,654615,1,1,1,1/2/2017,美妝保健,2434, ,貨到付款, ,1,1,1,12
314,79,女,43,0,新竹市,新竹市,大學,340000,0,1, ,1/2/2017,服飾用品,1149,簽帳金融卡,信用卡,0,1,0, , 
837,14,女,38,1,無資料,無資料,其他,521429,0,1,2,1/2/2017,美妝保健,1548,玉璽卡,信用卡,0,1,0, , 
436,168,女,53,0,新北市,五股區,高中(職),600000,0,1, ,1/2/2017,生活百貨,2261,簽帳金融卡,信用卡,0,2,1,0, 
795,140,女,36,1,台中市,龍井區,專科,400000,1,1,0,1/2/2017,電器用品,4878,汽車卡,信用卡,0,2,0, , 
569,13,男,32,1,新北市,淡水區,其他,654615,1,1,1,1/2/2017,電器用品,6004,玉璽卡,信用卡,1,1,1,0, 
280,64,女,33,0,台北市,松山區,其他,644375,0,1, ,1/2/2017,服飾用品,2981, ,貨到付款, ,1,0, , 
626,143,男,41,1,新北市,蘆洲區,大學,730000,0,0,0,1/2/2017,電器用品,4892, ,貨到付款, ,1,1,0, 
946,115,男,43,1,南投縣,草屯鎮,其他,534348,1,1,0,1/2/2017,電器用品,3520,簽帳金融卡,信用卡,1,1,0, , 
361,14,男,39,1,台北市,大安區,其他,697143,0,1,0,1/2/2017,美妝保健,1660, ,貨到付款, ,1,0, , 
988,98,女,41,1,新北市,鶯歌區,其他,671735,0,1,1,1/3/2017,服飾用品,2306,商務卡,信用卡,0,2,0, , 
197,60,男,36,1,台南市,學甲區,高中(職),380000,0,1,1,1/3/2017,食品飲料,869,小資卡,信用卡,0,1,1,1,18
995,256,男,40,0,台北市,大安區,其他,645469,1,1, ,1/3/2017,電器用品,4420,簽帳金融卡,信用卡,0,3,1,0, 
884,82,女,38,1,雲林縣,古坑鄉,專科,418902,0,1,2,1/3/2017,美妝保健,1518,簽帳金融卡,信用卡,0,1,0, , 
352,11,男,36,0,彰化縣,芳苑鄉,大學,400000,1,1, ,1/3/2017,電器用品,2688, ,ATM轉帳, ,1,0, , 
609,3,男,50,1,台中市,西屯區,其他,696667,1,1,0,1/3/2017,電器用品,5030,簽帳金融卡,信用卡,0,1,1,0, 
884,82,女,38,1,雲林縣,古坑鄉,專科,418902,0,1,2,1/3/2017,服飾用品,604, ,貨到付款, ,2,0, , 
659,60,男,39,0,新北市,新莊區,大學,700000,1,0, ,1/3/2017,服飾用品,1466, ,ATM轉帳, ,1,1,1,6
571,88,女,36,0,台北市,士林區,大學,680000,1,1, ,1/3/2017,服飾用品,1638,玉璽卡,信用卡,1,1,1,0, 
995,256,男,40,0,台北市,大安區,其他,645469,1,1, ,1/3/2017,生活百貨,990,簽帳金融卡,信用卡,0,1,0, , 
626,143,男,41,1,新北市,蘆洲區,大學,730000,0,0,0,1/3/2017,電器用品,4518,小資卡,信用卡,0,2,1,0, 
899,65,男,26,1,新竹市,新竹市,大學,880000,0,1,0,1/3/2017,食品飲料,1357, ,ATM轉帳, ,3,0, , 
127,57,女,45,1,苗栗縣,頭份鎮,碩士以上,516842,0,1,3,1/3/2017,美妝保健,1888,小資卡,信用卡,0,3,1,0, 
626,143,男,41,1,新北市,蘆洲區,大學,730000,0,0,0,1/3/2017,食品飲料,4801,小資卡,信用卡,0,2,0, , 
884,82,女,38,1,雲林縣,古坑鄉,專科,418902,0,1,2,1/3/2017,美妝保健,3011,玉璽卡,信用卡,0,2,0, , 
626,143,男,41,1,新北市,蘆洲區,大學,730000,0,0,0,1/3/2017,電器用品,4085, ,ATM轉帳, ,1,0, , 
428,34,女,41,1,新北市,三重區,大學,470000,1,1,0,1/3/2017,美妝保健,3110,小資卡,信用卡,0,1,0, , 
588,149,男,44,1,台南市,安平區,碩士以上,700000,1,1,0,1/3/2017,食品飲料,2365, ,ATM轉帳, ,1,0, , 
197,60,男,36,1,台南市,學甲區,高中(職),380000,0,1,1,1/3/2017,服飾用品,2534, ,ATM轉帳, ,1,1,1,16
436,168,女,53,0,新北市,五股區,高中(職),600000,0,1, ,1/3/2017,美妝保健,832,簽帳金融卡,信用卡,1,1,0, , 
659,60,男,39,0,新北市,新莊區,大學,700000,1,0, ,1/3/2017,服飾用品,2344, ,ATM轉帳, ,1,0, , 
165,46,男,38,1,桃園縣,中壢市,其他,511087,1,1,0,1/3/2017,服飾用品,1408, ,貨到付款, ,1,1,0, 
95,25,女,44,1,新北市,中和區,其他,671600,1,1,0,1/3/2017,服飾用品,1838,小資卡,信用卡,0,3,1,1,21
884,82,女,38,1,雲林縣,古坑鄉,專科,418902,0,1,2,1/3/2017,服飾用品,1381, ,貨到付款, ,1,1,0, 
428,34,女,41,1,新北市,三重區,大學,470000,1,1,0,1/3/2017,電器用品,4050,小資卡,信用卡,0,1,0, , 
233,95,男,43,0,台北市,信義區,大學,440000,0,1, ,1/3/2017,服飾用品,1122, ,ATM轉帳, ,2,0, , 
428,34,女,41,1,新北市,三重區,大學,470000,1,1,0,1/3/2017,美妝保健,2314, ,貨到付款, ,3,1,0, 
995,256,男,40,0,台北市,大安區,其他,645469,1,1, ,1/3/2017,生活百貨,1297,汽車卡,信用卡,0,1,1,0, 
934,19,男,33,0,新北市,三重區,大學,350000,1,1, ,1/3/2017,電器用品,4613,小資卡,信用卡,0,2,0, , 
609,3,男,50,1,台中市,西屯區,其他,696667,1,1,0,1/3/2017,食品飲料,1830, ,貨到付款, ,1,0, , 
95,25,女,44,1,新北市,中和區,其他,671600,1,1,0,1/3/2017,美妝保健,2166,玉璽卡,信用卡,0,1,0, , 
594,35,女,48,1,台北市,松山區,其他,644857,0,1,0,1/3/2017,電器用品,7508,玉璽卡,信用卡,0,2,0, , 
436,168,女,53,0,新北市,五股區,高中(職),600000,0,1, ,1/3/2017,美妝保健,902, ,貨到付款, ,2,0, , 
95,25,女,44,1,新北市,中和區,其他,671600,1,1,0,1/3/2017,美妝保健,1916, ,貨到付款, ,2,0, , 
233,95,男,43,0,台北市,信義區,大學,440000,0,1, ,1/3/2017,服飾用品,2045,小資卡,信用卡,1,1,1,0, 
594,35,女,48,1,台北市,松山區,其他,644857,0,1,0,1/3/2017,美妝保健,3847,簽帳金融卡,信用卡,1,1,1,1,8
609,3,男,50,1,台中市,西屯區,其他,696667,1,1,0,1/3/2017,食品飲料,2053, ,ATM轉帳, ,3,0, , 
352,11,男,36,0,彰化縣,芳苑鄉,大學,400000,1,1, ,1/3/2017,電器用品,5740, ,貨到付款, ,1,0, , 
571,88,女,36,0,台北市,士林區,大學,680000,1,1, ,1/3/2017,美妝保健,1816,玉璽卡,信用卡,0,2,1,1,5
436,168,女,53,0,新北市,五股區,高中(職),600000,0,1, ,1/3/2017,美妝保健,1189, ,貨到付款, ,1,1,1,12
297,42,男,39,1,台北市,北投區,碩士以上,600000,1,1,3,1/4/2017,食品飲料,2195,玉璽卡,信用卡,0,1,1,0, 
814,106,女,39,1,基隆市,七堵區,大學,250000,1,1,2,1/4/2017,電器用品,3564,簽帳金融卡,信用卡,0,1,1,0, 
202,93,女,44,0,新北市,板橋區,大學,600000,0,1, ,1/4/2017,服飾用品,2495,簽帳金融卡,信用卡,0,3,0, , 
82,154,男,38,0,新竹縣,新豐鄉,其他,500000,1,1, ,1/4/2017,電器用品,5916,玉璽卡,信用卡,0,1,1,0, 
153,106,男,41,0,高雄市,岡山區,專科,586509,1,1, ,1/4/2017,電器用品,3096,簽帳金融卡,信用卡,1,1,0, , 
401,216,男,37,1,新北市,林口區,大學,600000,0,1,1,1/4/2017,生活百貨,1285, ,ATM轉帳, ,2,0, , 
363,24,女,38,0,新北市,板橋區,其他,614583,0,0, ,1/4/2017,美妝保健,1680,玉璽卡,信用卡,0,1,1,1,8
153,106,男,41,0,高雄市,岡山區,專科,586509,1,1, ,1/4/2017,食品飲料,2478,簽帳金融卡,信用卡,0,3,1,1,7
29,138,男,39,0,雲林縣,元長鄉,大學,404275,0,1, ,1/4/2017,食品飲料,1052, ,ATM轉帳, ,1,1,0, 
29,138,男,39,0,雲林縣,元長鄉,大學,404275,0,1, ,1/4/2017,電器用品,3539,小資卡,信用卡,0,2,0, , 
909,57,女,26,1,新北市,新莊區,其他,684912,0,1,1,1/4/2017,服飾用品,1217,簽帳金融卡,信用卡,0,2,1,1,14
909,57,女,26,1,新北市,新莊區,其他,684912,0,1,1,1/4/2017,服飾用品,1906,簽帳金融卡,信用卡,1,2,1,1,8
946,115,男,43,1,南投縣,草屯鎮,其他,534348,1,1,0,1/4/2017,食品飲料,1146, ,貨到付款, ,1,1,0, 
153,106,男,41,0,高雄市,岡山區,專科,586509,1,1, ,1/4/2017,電器用品,4056, ,ATM轉帳, ,1,1,0, 
909,57,女,26,1,新北市,新莊區,其他,684912,0,1,1,1/4/2017,食品飲料,1505, ,ATM轉帳, ,1,0, , 
909,57,女,26,1,新北市,新莊區,其他,684912,0,1,1,1/4/2017,食品飲料,2783, ,貨到付款, ,1,1,1,8
29,138,男,39,0,雲林縣,元長鄉,大學,404275,0,1, ,1/4/2017,電器用品,3269,小資卡,信用卡,0,1,0, , 
1001,18,男,34,1,彰化縣,花壇鄉,大學,620000,1,1,3,1/4/2017,美妝保健,4029, ,ATM轉帳, ,1,1,0, 
13,129,女,31,0,新北市,蘆洲區,大學,520000,0,1, ,1/4/2017,美妝保健,1547,簽帳金融卡,信用卡,0,1,0, , 
968,166,男,41,0,無資料,無資料,其他,521205,1,1, ,1/4/2017,食品飲料,1501, ,貨到付款, ,1,0, , 
363,24,女,38,0,新北市,板橋區,其他,614583,0,0, ,1/4/2017,美妝保健,1858,簽帳金融卡,信用卡,0,1,1,1,7
153,106,男,41,0,高雄市,岡山區,專科,586509,1,1, ,1/4/2017,電器用品,3855,玉璽卡,信用卡,1,1,1,0, 
946,115,男,43,1,南投縣,草屯鎮,其他,534348,1,1,0,1/4/2017,食品飲料,2511,玉璽卡,信用卡,0,1,1,0, 
909,57,女,26,1,新北市,新莊區,其他,684912,0,1,1,1/4/2017,服飾用品,1488, ,貨到付款, ,1,1,0, 
153,106,男,41,0,高雄市,岡山區,專科,586509,1,1, ,1/4/2017,食品飲料,1189, ,貨到付款, ,1,0, , 
818,15,女,55,1,高雄市,小港區,其他,593333,0,0,1,1/4/2017,美妝保健,1232,玉璽卡,信用卡,0,1,1,0, 
153,106,男,41,0,高雄市,岡山區,專科,586509,1,1, ,1/4/2017,電器用品,4676, ,貨到付款, ,1,1,0, 
82,154,男,38,0,新竹縣,新豐鄉,其他,500000,1,1, ,1/4/2017,電器用品,3755, ,貨到付款, ,2,1,0, 
13,129,女,31,0,新北市,蘆洲區,大學,520000,0,1, ,1/4/2017,電器用品,4394,簽帳金融卡,信用卡,1,2,1,0, 
82,154,男,38,0,新竹縣,新豐鄉,其他,500000,1,1, ,1/4/2017,生活百貨,1010,玉璽卡,信用卡,1,2,0, , 
946,115,男,43,1,南投縣,草屯鎮,其他,534348,1,1,0,1/4/2017,電器用品,4155,玉璽卡,信用卡,0,4,0, , 
909,57,女,26,1,新北市,新莊區,其他,684912,0,1,1,1/4/2017,服飾用品,721,簽帳金融卡,信用卡,0,1,1,1,6
13,129,女,31,0,新北市,蘆洲區,大學,520000,0,1, ,1/4/2017,電器用品,3911,簽帳金融卡,信用卡,0,1,1,0, 
29,138,男,39,0,雲林縣,元長鄉,大學,404275,0,1, ,1/4/2017,電器用品,6240, ,貨到付款, ,1,0, , 
814,106,女,39,1,基隆市,七堵區,大學,250000,1,1,2,1/4/2017,美妝保健,1192,簽帳金融卡,信用卡,0,2,1,1,10
29,138,男,39,0,雲林縣,元長鄉,大學,404275,0,1, ,1/4/2017,電器用品,3894,小資卡,信用卡,0,2,1,0, 
363,24,女,38,0,新北市,板橋區,其他,614583,0,0, ,1/4/2017,電器用品,4231,汽車卡,信用卡,0,1,0, , 
1001,18,男,34,1,彰化縣,花壇鄉,大學,620000,1,1,3,1/4/2017,電器用品,4769, ,ATM轉帳, ,1,0, , 
13,129,女,31,0,新北市,蘆洲區,大學,520000,0,1, ,1/4/2017,電器用品,4910, ,貨到付款, ,3,0, , 
968,166,男,41,0,無資料,無資料,其他,521205,1,1, ,1/4/2017,電器用品,3396, ,貨到付款, ,1,1,0, 
888,4,女,50,1,宜蘭縣,頭城鎮,高中(職),500000,0,1,2,1/4/2017,服飾用品,1340, ,貨到付款, ,1,0, , 
523,163,女,37,1,台南市,安南區,大學,330000,1,1,0,1/4/2017,服飾用品,1679,玉璽卡,信用卡,1,1,0, , 
401,216,男,37,1,新北市,林口區,大學,600000,0,1,1,1/4/2017,食品飲料,664, ,ATM轉帳, ,2,0, , 
909,57,女,26,1,新北市,新莊區,其他,684912,0,1,1,1/4/2017,服飾用品,746, ,ATM轉帳, ,1,1,1,12
909,57,女,26,1,新北市,新莊區,其他,684912,0,1,1,1/4/2017,服飾用品,2251,簽帳金融卡,信用卡,0,2,1,1,10
233,95,男,43,0,台北市,信義區,大學,440000,0,1, ,1/4/2017,食品飲料,1412,小資卡,信用卡,1,2,1,0, 
909,57,女,26,1,新北市,新莊區,其他,684912,0,1,1,1/4/2017,服飾用品,1267,簽帳金融卡,信用卡,1,1,0, , 
401,216,男,37,1,新北市,林口區,大學,600000,0,1,1,1/4/2017,電器用品,5322,簽帳金融卡,信用卡,0,1,1,0, 
565,80,女,34,1,新北市,板橋區,大學,340000,0,1,0,1/4/2017,服飾用品,2244,玉璽卡,信用卡,0,1,1,1,14
29,138,男,39,0,雲林縣,元長鄉,大學,404275,0,1, ,1/4/2017,電器用品,4040, ,ATM轉帳, ,1,0, , 
1001,18,男,34,1,彰化縣,花壇鄉,大學,620000,1,1,3,1/4/2017,美妝保健,2065, ,貨到付款, ,1,0, , 
909,57,女,26,1,新北市,新莊區,其他,684912,0,1,1,1/4/2017,美妝保健,1717,簽帳金融卡,信用卡,1,1,1,1,8
728,59,男,34,1,無資料,無資料,大學,522542,1,1,0,1/5/2017,服飾用品,639,小資卡,信用卡,0,1,0, , 
287,194,男,50,0,新竹市,新竹市,其他,562629,1,0, ,1/5/2017,食品飲料,1706, ,貨到付款, ,1,1,0, 
920,82,男,38,1,新北市,新莊區,大學,470000,0,1,1,1/5/2017,服飾用品,524, ,ATM轉帳, ,1,0, , 
728,59,男,34,1,無資料,無資料,大學,522542,1,1,0,1/5/2017,服飾用品,1653, ,ATM轉帳, ,2,1,0, 
654,77,男,42,1,高雄市,苓雅區,大學,460000,0,1,2,1/5/2017,食品飲料,2057,簽帳金融卡,信用卡,0,1,0, , 
608,119,女,39,1,新北市,中和區,其他,620000,1,1,0,1/5/2017,食品飲料,1996, ,貨到付款, ,2,1,0, 
968,166,男,41,0,無資料,無資料,其他,521205,1,1, ,1/5/2017,食品飲料,1566,汽車卡,信用卡,0,3,0, , 
968,166,男,41,0,無資料,無資料,其他,521205,1,1, ,1/5/2017,生活百貨,3265,商務卡,信用卡,1,2,1,0, 
946,115,男,43,1,南投縣,草屯鎮,其他,534348,1,1,0,1/5/2017,電器用品,3936,簽帳金融卡,信用卡,0,1,1,0, 
728,59,男,34,1,無資料,無資料,大學,522542,1,1,0,1/5/2017,食品飲料,995, ,ATM轉帳, ,1,1,0, 
962,82,女,35,0,基隆市,安樂區,其他,560732,1,1, ,1/5/2017,服飾用品,2158,玉璽卡,信用卡,0,1,1,0, 
457,59,男,27,0,屏東縣,內埔鄉,高中(職),450000,1,1, ,1/5/2017,食品飲料,1063, ,ATM轉帳, ,2,1,0, 
946,115,男,43,1,南投縣,草屯鎮,其他,534348,1,1,0,1/5/2017,電器用品,4274, ,ATM轉帳, ,1,1,0, 
347,71,女,41,1,台南市,永康區,大學,850000,1,1,1,1/5/2017,美妝保健,2477,簽帳金融卡,信用卡,0,1,0, , 
968,166,男,41,0,無資料,無資料,其他,521205,1,1, ,1/5/2017,生活百貨,1169,商務卡,信用卡,0,2,1,0, 
